id;condition;G1;SP1;SP2;SP3;SP4;SP5;INV1;INV2;INV3;INV4;REAL1;REAL2;REAL3;REAL4
P01_V2;3dof;0;-1;1;1;1;1;-1;1;1;1;1;-1;1;0
P02_V2;3dof;1;-2;2;1;-2;2;-3;1;3;1;2;-3;-2;-1
P03_V2;3dof;2;0;1;-1;1;-1;2;-1;0;-1;2;1;2;0
P04_V2;3dof;-2;1;-1;-2;-2;1;2;-1;-2;-1;1;-3;1;-2
P05_V2;3dof;2;-2;2;-3;-3;2;-2;1;1;2;2;-3;2;-3
P06_V2;3dof;2;-1;1;1;-1;-1;-2;1;-2;-1;2;-3;2;-3
P07_V2;3dof;2;-1;-2;1;-1;0;-1;1;-1;-1;1;-2;-2;-2
P08_V2;3dof;1;1;-1;-2;-2;-1;-1;0;-2;1;3;-2;-1;0
P09_V2;3dof;1;-2;0;-1;-2;-1;-2;-2;2;-1;2;-3;2;-1
P10_V2;3dof;1;-1;1;1;-1;1;1;1;1;1;2;-3;-3;1
P11_V2;3dof;3;-2;-3;-2;-3;-3;-3;-1;2;0;3;-3;-1;-3
P12_V2;3dof;1;-2;-2;-3;-1;0;1;2;3;1;3;-3;1;-1
P13_V2;3dof;-2;1;0;0;-1;3;2;1;2;2;1;-2;0;2
P14_V2;3dof;-3;0;-1;-1;-3;1;2;0;1;-2;-2;-3;2;-2
P15_V2;3dof;-1;0;-1;1;-1;-2;1;-1;-1;-1;-1;-3;2;-1
P16_V2;3dof;-2;-3;-1;-1;-2;-2;2;-2;1;0;-2;-3;-1;2
P17_V2;3dof;0;-1;-1;0;-2;1;1;0;-1;1;-1;-1;1;-1
P18_V2;3dof;2;1;0;-2;-2;0;0;1;2;2;1;-3;0;1
P19_V2;3dof;1;-1;-1;-2;-2;-1;-1;1;-1;1;2;1;-3;1
P20_V2;3dof;-2;-3;0;2;-2;-1;1;-1;3;-1;2;-3;0;2
P21_V2;3dof;-2;-2;-2;0;-3;-3;-1;-3;1;-3;-2;-3;-3;-3
P22_V2;3dof;-2;1;2;1;-1;2;1;-1;-1;1;1;-1;-3;1
P23_V2;3dof;1;0;-3;-1;-3;1;1;1;-2;1;-1;-3;1;2
P24_V2;3dof;-2;0;-1;-1;-2;1;;;;;;;;
P25_V2;3dof;-1;2;1;2;2;-2;-1;2;2;2;0;0;-2;2
P26_V2;3dof;1;1;3;2;2;1;0;1;2;1;-3;2;2;2
P27_V2;3dof;1;1;1;2;-1;0;-1;1;1;1;1;-2;-2;-1
P01_V1;6dof;0;1;1;-1;1;1;-1;1;1;1;3;-2;1;-1
P02_V1;6dof;-1;2;2;1;-2;1;0;1;1;1;1;-2;-2;-1
P03_V1;6dof;-1;2;2;2;-2;2;1;2;2;-1;1;-2;-3;1
P04_V1;6dof;-2;2;2;0;-1;2;2;1;-1;2;-2;-3;-2;-2
P05_V1;6dof;1;-3;-2;-2;-3;3;-2;2;1;2;1;-3;2;-2
P06_V1;6dof;1;1;2;1;1;2;-1;2;0;2;2;-2;-2;-2
P07_V1;6dof;0;-3;1;1;-2;1;-2;1;1;1;1;-2;-1;-1
P08_V1;6dof;-2;1;1;2;0;1;2;1;0;1;-1;-1;0;-1
P09_V1;6dof;1;-2;2;1;-2;0;;;;;;;;
P10_V1;6dof;0;-1;2;1;-1;2;1;2;0;2;1;-3;-3;2
P11_V1;6dof;-2;0;2;-1;-2;2;1;2;3;3;2;-3;-2;0
P12_V1;6dof;2;-2;-1;-1;-2;2;-3;0;2;2;2;-3;-1;0
P13_V1;6dof;1;2;2;1;0;3;1;2;1;1;2;-1;1;1
P14_V1;6dof;1;-2;1;-3;-3;0;-1;0;1;1;0;-3;-1;-2
P15_V1;6dof;1;1;-1;-1;-1;2;-1;1;1;1;2;-3;2;-1
P16_V1;6dof;-1;-2;1;-2;2;-2;1;-1;1;1;1;-3;0;1
P17_V1;6dof;1;-1;2;-1;-2;2;-1;1;3;2;1;-2;0;3
P18_V1;6dof;-2;-1;3;-1;0;2;1;2;2;2;1;0;-3;1
P19_V1;6dof;2;-1;-2;-2;-2;1;1;2;1;1;2;0;-2;1
P20_V1;6dof;-1;0;-1;2;-1;2;1;2;3;1;1;-3;-1;2
P21_V1;6dof;-1;-3;0;1;-3;-3;0;-3;3;0;1;-3;-2;-1
P22_V1;6dof;-2;1;2;1;1;-1;2;1;0;1;1;1;-2;1
P23_V1;6dof;2;-1;3;1;-2;2;-2;1;-2;1;3;-3;1;-1
P24_V1;6dof;1;-1;0;0;0;1;;;;;;;;
P25_V1;6dof;-2;1;2;2;2;-2;2;1;2;2;0;0;-2;2
P26_V1;6dof;1;-1;-1;-1;1;3;0;0;2;-1;1;1;1;-2
P27_V1;6dof;-1;1;2;1;-1;0;1;0;1;0;-1;-2;-2;-1
